Feature,Polynomial Importance,Kernel Importance
Eye Fissure Index,0.19219088914893945,0.18447205535142608
Mandibular Index,0.09110483264151803,0.01648213865592041
Facial Index,0.07425810114987996,0.056731490755348446
Vermilion Height Index,0.03817027141126239,-0.03586287065471083
Intercantal Index,0.03807503033365656,-0.0011182842918593394
Orbital Width Index,0.03739766124308197,0.07384803760247927
Mouth Face Width Index,-0.1748595806391311,-0.3291090792597373
